D1,Silly Cat Juice box,"Perfectly drinkable by adults".,1.25,DRINK
D2,Carton of Milk,The brand is titled "Malk".,0.89,DRINK
D3,Non-Alcoholic Beer,With twice the taste of regular beer!,3.00,DRINK
D4,Unbranded Cola,Tasty cola in a red unbranded can.,1.80,DRINK
F1,Pack of Sausages,4 sausages is just the right amount.,3.50,FOOD
F2,Coder's Delight,Very salty and very greasy.,2.50,FOOD
F3,Plain Porridge,The package comes with an included fork.,0.75,FOOD
F4,Tasty Broccoli,It's super tasty!,0.55,FOOD
W1,Dagger of Stabbing,For those intimate moments with an adversary!,15.00,WEAPON
W2,Ultima Sword,Who could swing this massive thing?,25.00,WEAPON
W3,Hammer of Justice,Packs a stunning blow!,18.99,WEAPON
W4,Imaginary Handgun,Use your imagination!,8.65,WEAPON
